,"""Nearly Headless"" Nick",Albus Dumbledore,Alicia Spinnet,Angelina Johnson,Argus Filch,Arthur Weasley,Bathilda Bagshot,Blaise Zabini,Charlie Weasley,Cornelius Fudge,Dean Thomas,Dedalus Diggle,Dennis Creevey,Draco Malfoy,Dudley Dursley,Fred Weasley,George Weasley,Ginevra Weasley,Godric Gryffindor,Gregory Goyle Jr,Gregory Goyle Sr,Hannah Abbott,Harry Potter,Hermione Granger,James Potter,Justin Finch-Fletchley,Katie Bell,Lavender Brown,Lee Jordan,Lily Potter,Lord Voldemort,Madam Malkin,Madam Rosmerta,Marcus Flint,Marjorie Dursley,Mary Cattermole,Mary Riddle,Millicent Bulstrode,Minerva McGonagall,Molly Weasley,Neville Longbottom,Newt Scamander,Nicolas Flamel,Oliver Wood,Pansy Parkinson,Parvati Patil,Percy Weasley,Peter Pettigrew,Petunia Dursley,Phineas Nigellus Black,Regulus Arcturus Black,Ronald Weasley,Rubeus Hagrid,Seamus Finnigan,Severus Snape,Sirius Black,Susan Bones,Ted Tonks,Teddy Lupin,Terry Boot,Tom Riddle,Vernon Dursley,William Weasley
Pansy Parkinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parvati Patil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288888888889,0.0,0.0,0.0,0.409722222222,0.349305555556,0.0,0.0,0.0,0.409722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.409722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percy Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.28731208657,0.0,1.0,0.282861223244,0.2,0.0,0.0,0.0,0.291666666667,0.0,0.289691593365,0.277787128302,0.281891103805,0.458974358974,0.0,0.0,0.0,0.334901198575,0.380527210884,0.166666666667,0.0,0.419230769231,0.0,0.4,0.166666666667,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.274726302609,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.297955252105,0.252777777778,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285664688711
Peter Pettigrew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,0.0,0.575,0.575,0.0,0.214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petunia Dursley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325908883228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269567099567,0.0,0.25,0.0,0.0,0.2,0.0,0.25,0.3,0.0,0.0,0.0,0.345204875283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190277777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316330911152,0.0
Phineas Nigellus Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.455555555556,0.0,0.0,0.0,0.0,0.433333333333,0.433333333333,0.433333333333,0.0,0.445353535354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417974277211,0.422222222222,0.470833333333,0.0,0.0,0.417951336675,0.0,0.0,0.0,0.0,0.0,0.361111111111,0.0
Regulus Arcturus Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.455555555556,0.0,0.0,0.0,0.0,0.433333333333,0.433333333333,0.433333333333,0.0,0.445353535354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417974277211,0.0,0.422222222222,0.470833333333,0.0,0.0,0.417951336675,0.0,0.0,0.0,0.0,0.0,0.361111111111,0.0
Ronald Weasley,0.0,0.455952380952,0.419230769231,0.419230769231,0.502,0.276535217776,0.0,1.0,0.267884729434,0.2,0.195833333333,0.0,0.0,0.317222222222,0.15,0.270983323095,0.252062228087,0.267161142597,0.361021270396,0.466666666667,0.466666666667,0.0,0.349798199812,0.340763246894,0.233333333333,0.0,0.419230769231,0.434553872054,0.35,0.233333333333,0.0,0.25,0.25,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.261402449317,0.223214285714,0.0,0.2875,0.568376068376,0.0,0.409722222222,0.297955252105,0.0,0.0,0.422222222222,0.422222222222,0.0,0.368095238095,0.577777777778,0.276736111111,0.422222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.271767369193
Rubeus Hagrid,0.0,0.339898989899,0.0,0.0,0.6,0.252777777778,0.0,0.0,0.251111111111,0.0,0.0,0.0,0.0,0.234126984127,0.190277777778,0.337037037037,0.252777777778,0.252777777778,0.0,0.0,0.0,0.0,0.372861561061,0.338111772487,0.0,0.0,0.0,0.475,0.0,0.0,0.397142857143,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.468333333333,0.252777777778,0.301587301587,0.0,0.0,0.0,0.0,0.0,0.252777777778,0.0,0.190277777778,0.470833333333,0.470833333333,0.368095238095,0.0,0.0,0.292708333333,0.470833333333,0.0,0.0,0.0,0.0,0.75,0.32925,0.252777777778
Seamus Finnigan,0.0,0.0,0.0,0.0,0.0,0.616666666667,0.0,0.0,0.616666666667,0.0,0.390625,0.0,0.0,0.0,0.0,0.616666666667,0.616666666667,0.616666666667,0.2,0.0,0.0,0.0,0.144270833333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616666666667,0.35625,0.0,0.0,0.0,0.0,0.0,0.616666666667,0.0,0.0,0.0,0.0,0.577777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616666666667
Severus Snape,0.0,0.357142857143,0.0,0.0,0.178571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348571428571,0.0,0.0,0.0,0.0,0.206018518519,0.4,0.4,0.0,0.346457138957,0.280394345238,0.25,0.0,0.0,0.0,0.0,0.25,0.323660714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226666666667,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276736111111,0.292708333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirius Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.455555555556,0.0,0.0,0.0,0.0,0.433333333333,0.433333333333,0.433333333333,0.0,0.445353535354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417951336675,0.417951336675,0.422222222222,0.470833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361111111111,0.0
Susan Bones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ted Tonks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Lupin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Riddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vernon Dursley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356999947758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382174009941,0.783333333333,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.316231014418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316330911152,0.361111111111,0.361111111111,0.0,0.32925,0.0,0.0,0.361111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.265740740741
William Weasley,0.0,0.0,0.419230769231,0.419230769231,0.6,0.281163348887,0.0,1.0,0.266589643455,0.2,0.0,0.0,0.0,0.291666666667,0.0,0.283296252188,0.270100483417,0.275425321358,0.459615384615,0.0,0.0,0.0,0.267994331066,0.538860544218,0.25,0.0,0.419230769231,0.0,0.4,0.25,0.0,0.0,0.0,0.419230769231,0.0,0.0,0.0,0.0,0.0,0.268082407519,0.252777777778,0.0,0.0,0.419230769231,0.0,0.0,0.285664688711,0.0,0.0,0.0,0.0,0.271767369193,0.252777777778,0.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265740740741,0.0
